,Gabaergic,Gabaergic,Gabaergic (Lhx5),Gabaergic,Astrocytes (Sparc and Sox9),"Granule neurons (Neurod1, Selm)",Gabaergic,Gabaergic,"NPC(Id3, Id1","Granule neurons (Neurod1, Selm)",10,"Granule neurons (Selm, pax6, atph1, neurod)","Granule Neurons (Selm, Pax6)","Glutamergic (Atoh1, Barhl1)",14,Gabaergic,"Astrocyte (Sparcl1 and S;c1a3, Id3, Ndrg2)",Erythrocytes (BAMBI)
71,Marcksl1,Pcdh11x,Cfl1,Gdi1,Ran,Lsm6,Fam57b,Vamp2,Rpl22l1,Meis1,Ddr1,Fbxo5,Nhlh1,Laptm4a,Ctse,Thra,Alyref,Klf2
72,Cd24a,Cpe,Cdk4,Rgmb,Lsm6,Dnajc9,Zcchc12,Hist3h2a,Prdx6,Nme1,Rps10,Top2a,Laptm4a,Mrfap1,Josd2,Nefm,Gm3764,Slc9a3r2
73,Auts2,Slit2,Basp1,Cited2,Pla2g7,Hes1,Cdk5r1,Map1lc3a,Hmgn3,Atp6v0b,Klhl35,Cdc20,Insm1,Tead2,Gm42749,Dusp26,Gpx8,Cald1
74,Gng2,Thra,Rufy3,Aplp1,Msx3,Slc1a3,Ppp2r2b,Fam20c,Tipin,Synpr,Cnn3,Snrpb,H3f3b,Eif3k,Vangl1,Rundc3a,Gcsh,Bambi
75,Cyth2,Ncam1,Dbn1,Bzw2,Gstm1,Elavl1,Tenm2,Pcsk1n,Mrfap1,Gpm6a,Tead2,Ncl,Pkm,Selm,Fam126a,Tenm2,Msx3,Apod
76,Hint1,Kcnip1,Prmt8,Slc32a1,Rpl8,Rpl32,Lhx1,Dynll2,Mcm6,Ndufa4,Naca,Nrn1,Zic5,Hsp90ab1,Lyl1,Mmd,Plpp3,Sept7
77,Maged1,Serp2,Klf7,Dbn1,Rpl4,Prc1,Sbk1,Uchl1,Dctpp1,Plk2,Rps3a1,Selm,Itm2b,Gm10263,Epb42,Gnas,Zic1,Ppp1r2
78,Hist3h2a,Nrsn1,Ddr1,Pafah1b3,Spcs2,Srsf3,Cdh9,Gdi1,Dnajc9,Tmeff1,Rps15,Tcf3,Cdk4,Fkbp3,Rad23a,Calm1,Fkbp3,Cmtm3
79,Tenm2,Celf2,Rgs3,Rab3a,Aldh1l1,Clic1,Cd200,Gm17750,Snrpb,Tcf4,Mycl,Nap1l1,Hs3st5,E2f1,Kel,Ppp3ca,Timp4,Lama4
80,Dusp26,C1qtnf4,Map1lc3b,Vamp2,Sox2,Eef1d,Fez1,Acot7,Rpl23,Rab3a,Glrx3,Cenpa,Prdx6,Brd7,Ube2c,Dynll2,Prkcdbp,Myl9
81,Dynlrb1,Cntnap4,Gad1,Tubb4a,Cd9,Fam64a,Stmn4,Atat1,Pcbp2,Ralyl,Kcnq1ot1,Lmnb1,Usp46,Eif5a,Adrb2,Atp2b1,Hspe1,S100a11
82,Nap1l5,Atp6v0b,Tmeff1,Elmo1,Hadh,Spc24,Dynll2,Lmo4,H2afz,Scg5,Rpl14,Rfc4,Neurod6,Elavl1,Ghitm,Rnf187,Rplp1,Trf
83,Gad2,Gng3,Tppp3,Sms,Tpi1,Cyp26b1,Tagln3,Ppp2r2b,Hmgn1,Dbn1,Mfng,Hnrnpk,Tkt,Id2,Gm867,Meg3,Cyb5a,Slc7a1
84,Mmd,Actl6b,1700086L19Rik,Zfp428,Ddah1,Mif,Tubb5,Bex2,Rps20,Hn1,Npm1,Rpl8,Esd,Meis1,Foxo3,Rora,Itm2b,Sh3bgrl3
85,A830082K12Rik,Vamp2,Cnn3,Ctxn1,Rps9,Rpl13,Cck,Stx7,Rbbp7,Aes,Msi1,Pttg1,Aplp2,Mfap2,Isca1,Maged1,Sox2,AU021092
86,Pid1,Sbk1,Bcl7a,Dynlrb1,Efhd2,Psat1,Zfp428,Foxp2,Elavl1,Tmem163,Ckb,Tpm4,Kcnk1,Snrpg,Ifitm10,Klc1,Nkain4,Slc31a1
87,Ttc9b,Arl6ip5,Pantr1,Calm3,Tspan7,Tpx2,H3f3b,Rab3a,Ccnd2,Klc1,Rpl23,Gadd45g,Tcf4,Rpl22,Plek2,Atp5f1,Tspan7,Laptm4a
88,Thra,Kctd1,Rtn1,Map1lc3b,Fgfr1,Bub3,Mpped2,Chd3os,Dek,Sox4,Rpl39,Cenpm,Numbl,Mad2l2,S100a13,Celf3,Sep15,Atox1
89,Lhx1os,Pid1,Csrp1,Rnf187,Irx5,Nudcd2,Maged1,Ube2ql1,Rpl39,Serinc1,Irx2,Hmgn5,Meis1,Chd7,Grap2,Calm3,Lhfp,Kcnj8
