,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Nnat,Fabp7,Tmsb10,Tuba1a,Fabp7,Tuba1a,Ebf1,Meg3,Fabp7,Cd63,Igfbpl1,Ptn,Gadd45g,Tmsb10,Nefl,Hes6,Igfbpl1,Pfn1,Hba-a1
1,Tmsb10,Hmgb2,Lhx1os,Tubb3,Serpinh1,Tubb3,Tmsb10,Tubb3,Ptn,Ranbp1,Tubb3,Selm,Cdkn1c,Nnat,Stmn2,Atoh1,Tubb3,Cd81,Hbb-bs
2,Ftl1,Id3,Fgf3,Nhlh2,Rps19,Gap43,Islr2,Tuba1a,Pea15a,Tuba1b,Cdkn1c,Barhl1,Hes6,Tuba1a,Gm2694,Cd63,Trp53i11,Myl12a,Hbb-bt
3,Tuba1a,Ran,Nnat,Igfbpl1,Dbi,Chmp2b,Gap43,Rtn1,Serpine2,Hmgb2,Tfap2b,Pax6,Tmsb4x,Podxl2,Tubb3,Rps19,H3f3b,Igfbp7,Csmd2
4,Podxl2,Cnbp,Mllt11,Stmn2,Vim,Ebf1,Chmp2b,Tubb2a,Vim,Ran,Nhlh2,Gap43,Fabp7,Ina,Calm1,Rps5,Pantr1,Serpinh1,Fth1
5,Malat1,Tuba1b,Ina,Pid1,Id3,Podxl2,Pcp4,Stmn3,Gpm6b,Hes6,Klhl35,Nrn1,Kirrel2,Map1b,Gap43,Nkd1,Sox11,Gng11,Fech
6,Olfm1,Ranbp1,Foxp1,Hnrnpa2b1,Mdk,Stmn2,Tuba1a,Neurod6,Cnn3,2810417H13Rik,Sox11,Hes6,Pvalb,Tle1,Tmsb10,Rpl32,Camk2n1,Eva1b,Hba-x
7,Mllt11,H2afv,Foxp2,Tagln3,Ptn,Tmsb10,Stmn2,Tubb2b,Dbi,Ptma,Tuba1a,Ddah2,Rps5,Tubb3,Nnat,Rplp0,Lhx9,Mest,Hbb-y
8,Nr2f1,Dbi,Gap43,Ebf1,Ldha,Cnih2,Rtn1,Mllt11,Lxn,Mdk,Igsf8,Neurod1,Rps14,Fgf3,Pcp4,Rpl14,Gng8,Itm2b,Blvrb
9,Tubb3,Vim,Tuba1a,Nrgn,Rplp0,Malat1,Cnih2,Ly6h,Hes5,Rrm2,Lhx5,Cd63,Neurog2,Stmn3,Mllt11,Rps14,Tagln3,Tagln2,Bpgm
10,Ina,Mdk,Nefl,Acat2,Rpl32,Tagln3,Meg3,Celf4,Mt3,Npm1,Nhlh1,Ostf1,Rpl32,Cd47,Stmn3,Rpl13a,Nnat,Rpl13,Car2
11,Gm1673,Zfp36l1,Sox4,Ina,Zfp36l1,Tspan13,Malat1,Ina,Sparc,H2afv,Elavl4,Mab21l1,Tfap2b,Tubb2b,Mgst3,Gadd45g,Ptprg,Tpm4,Nudt4
12,Stmn3,Npm1,Gm1673,Crabp2,Rpl14,Actb,Ptms,Stmn2,Serpinh1,H2afz,Cited2,Stmn2,Rplp0,Islr2,Rtn1,Rpl37a,Lhx2,Sparc,Creg1
13,Rtn1,Ybx1,Nsg1,Ptma,Hes5,Mllt11,Map1b,Gng3,Cd81,Atoh1,Hnrnpa2b1,Ldha,Rps19,Mllt11,Ina,Npm1,Meis2,Sparcl1,Snca
14,Cnih2,H2afz,Rtn1,Podxl2,Cnn3,Ptms,Mllt11,Ndn,Pantr1,Anp32b,Elavl3,Clic1,Btg2,Tubb2a,Stmn4,Rps9,Nfib,Clic1,Fam210b
15,Etv1,Prdx1,Tubb3,Tubb5,Rpl41,Stmn3,Podxl2,Lamp5,Gnai2,Cnbp,Tubb5,Nbea,Rps3,Rtn1,Tuba1a,Rpl41,En1,Ndufa4l2,Mkrn1
16,Tubb2b,Rplp0,Ftl1,Ppp2r2b,Sparc,Hist3h2ba,Tubb3,Igfbpl1,Cyp26b1,Nkd1,Gadd45g,Mfap4,Cdk4,Cirbp,Gng3,Mdk,Nrn1,Maged2,Gclm
17,Calm2,Anp32b,Meg3,Rnd3,Rps14,Ppp2r2b,Lhx1os,Crmp1,Id3,Dnajc9,Slc25a5,Hpcal1,Rps9,Lhx1os,Map1b,Ldha,Scg5,Itm2a,Pnpo
18,Id4,Cnn3,Fgf15,Calm2,Rpl13,Tubb2b,Stmn3,Cnih2,Rprm,Rps5,6330403K07Rik,Fam84a,Ppib,Cnih2,Lmx1a,Rpl4,Stmn2,Anxa2,Bnip3l
19,Cirbp,Rps19,Cirbp,Lhx5,Pea15a,Ina,Ndn,Cd24a,Ttyh1,Cks1b,Psma7,Spsb4,Dpysl4,Nsg1,Calm3,Rpl37,Lmcd1,Ppic,Tspo
20,Hist3h2ba,Ldha,Malat1,Tubb2b,Cnbp,Rtn1,Stmn4,Aplp1,Mgst1,Hnrnpf,Cdk4,Pcsk9,Ccnd2,Fgf15,Nefm,Rps3,Marcksl1,Anxa5,March2
21,Ndn,Serpinh1,Tubb2b,Tmsb10,Rps5,Ndn,Tubb2b,Nsg1,Acot1,Hmgn1,Calm2,Ldhb,Gpm6b,Ndn,Calb2,Rps11,Elavl4,Cnn2,Hebp1
22,Actb,Sparc,Tmeff2,Cd24a,Prdx1,Ftl1,Cirbp,Tmsb10,Nkain4,Cdk1,Rnd2,Igfbpl1,Ascl1,Nxph4,Tubb2b,Rpl13,Ppp1r17,Cox4i1,Ptp4a3
23,Rab3a,Rpl14,Ly6h,Ier5,Rpl13a,Bcl11a,Snrpn,Pcsk1n,Pfn1,Rpl14,Crabp2,Ube2e3,Ptf1a,Stmn2,Ube2e3,Rps26,Tsc22d1,Ppib,Lgals1
24,Nsg1,Hes5,Stmn3,Robo3,Ybx1,En1,Runx1t1,Rab3a,Vcam1,Nusap1,Tagln3,Cd9,Pax3,Ftl1,Elmo1,Rpl8,Tmeff1,Rps14,Gpx1
25,Stmn4,Rrm2,Stmn2,Stmn3,H2afv,Nxph4,Hist3h2ba,Neurod1,Prdx1,Cdk4,Dynll1,Igfbp2,Pantr1,Malat1,Tmsb4x,Pvalb,Mfap2,Rps19,Ppp1r15a
26,Chgb,2810417H13Rik,Calm2,Cited2,Rpl4,Gad2,Evl,Neurod2,Psat1,Barhl1,Tcf4,Sstr2,Vim,Ptms,Cnih2,Phlda1,Uncx,Sept7,Ube2l6
27,Pcsk1n,Ptn,Evl,Fdft1,Rps9,Slc32a1,Ly6h,Nnat,Qk,Dut,Trp53i11,Snca,Rpl13,Ly6h,Cd24a,Prdx6,Malat1,Mfge8,Dcaf12
28,Hn1,Gnai2,Cnih2,Actb,Mif,Nsg1,Tspan13,Mapt,Sox9,Prdx1,Tfap2a,Gm2694,Neurog1,Gm1673,Cbln1,Rpl23,6330403K07Rik,Arpc1b,Cdc25b
29,Blcap,Hnrnpf,Ppp2r2b,Mllt11,Rpl37a,Islr2,Hn1,Syt4,Slc1a3,Rps19,Fscn1,Reln,Ptx3,Nefl,Neurod1,Ddit4,Necab3,B2m,Chchd10
30,Gap43,Mif,Ptms,Celf4,Slc25a5,Mpped2,Sox4,Chd3os,Phgdh,Pax6,Mxra7,Gpm6a,Rpl37,Nrxn1,Uchl1,Pabpc1,Pdzrn3,Sepp1,Ghitm
31,Khdrbs2,Dnajc9,Bcl11a,Ftl1,Npm1,Cirbp,Dpysl3,Dner,Pdpn,Anp32a,Prdx2,Ccnd2,Plk3,Rora,Crmp1,Rps8,Mab21l1,Aldoa,Vamp8
32,Ptms,Fkbp3,Nefm,Rgmb,Ran,Pid1,Foxp2,Cirbp,Slc25a5,Spc25,Mfap4,H1f0,Rpl4,Pcsk1n,Tmem158,Slc25a5,Hist3h2ba,Myl9,Rbm38
33,Stmn2,Hmgn1,Vstm2a,Dynll1,Gsta4,Ebf2,Ebf3,Snrpn,Ednrb,Ldha,Ier2,Pdzrn3,Msx3,Chmp2b,Neurod2,Rps15a,Ddah2,Rpl37a,Hexim1
34,Tspan13,Pea15a,Dab1,Nxph4,Phgdh,Foxp2,Tubb2a,Camk2n1,Zfp36l1,Dek,Rnd3,Ppib,Rpl37a,Brinp3,Marcksl1,Rplp2,Tmem163,Rnaset2a,H2-T23
